jobId,city_id
1896137,1
1896137,26
1883505,6
1895937,11
1896010,1
1896010,2
1896093,1
1878196,2
1877693,2
1895239,1
1895310,2
1895192,1
1896059,1
1896095,18
1895316,2
1882116,2
1882123,2
1899441,1
1886140,2
1900430,1
1899391,1
1899391,2
1885963,1
1899378,1
1899210,1
1884728,1
1900552,2
1888228,10
1901844,2
1901844,2
1901846,2
1900561,2
1900561,1
1882721,1
1901818,2
1889352,6
1903462,7
1903462,6
1903473,7
1903562,1
1903564,1
1903564,13
1903566,1
1902601,2
1902692,2
1902550,20
1888788,1
1897964,2
1898016,9
1898016,10
1898016,2
1899011,6
1886056,2
1898939,1
1899372,1
1899439,1
1899439,2
1889557,2
1904454,2
1887534,2
1901983,1
1904375,1
1904453,6
1904439,6
1904371,2
1904369,2
1889995,1
1904389,2
1904295,2
1904437,6
1904437,1
1904427,1
1904116,1
1904123,1
1904113,1
1904422,1
1904330,2
1888726,6
1892995,1
1895223,2
1895257,1
1895257,2
1893372,2
1893372,1
1761551,1
1895938,6
1895948,2
1896060,1
1828357,2
1828357,1
1896013,2
1895939,1
1895939,2
1895941,1
1895859,1
1895879,2
1893326,2
1895577,2
1895577,2
1880697,2
1895670,1
1881379,2
1893023,1
1886965,50
1886965,6
1886965,7
1882680,2
1885220,2
1885978,1
1885405,2
1899383,23
1899383,12
1899383,2
1897310,1
1899263,2
1899312,7
1899316,2
1899202,8
1899248,2
1899272,2
1899274,2
1884797,2
1884797,1
1900482,32
1900476,1
1900508,1
1902485,2
1902532,1
1902539,26
1902599,2
1902599,1
1886007,8
1886007,2
1886007,1
1897910,19
1897910,2
1897910,23
1898857,43
1888236,2
1888236,1
1889401,2
1889471,2
1903311,1
1903312,1
1903360,2
1903372,8
1898812,1
1900234,1
1900234,2
1903211,1
1903211,2
1903221,1
1903221,2
1903332,2
1888787,33
1904335,18
1904361,2
1904361,32
1904361,23
1904313,2
1904326,2
1904393,2
1904392,2
1904290,1
1904387,2
1885609,2
1885598,2
1890246,2
1904298,2
1904294,1
1904299,2
1904299,42
1904359,2
1904357,2
1904346,2
1904293,2
1904293,11
1904293,12
1904344,18
1893206,2
1893201,2
1895079,1
1895079,7
1879893,1
1879176,2
1893241,1
1895616,2
1895615,2
1882639,1
1881238,2
1893323,2
1893323,1
1893289,2
1893702,13
1895822,6
1895922,2
1878957,2
1895833,1
1895979,1
1895712,2
1895883,8
1895932,1
1895732,2
1895732,1
1885869,1
1885869,2
1885869,28
1885908,1
1885908,6
1885464,2
1885464,1
1900317,1
1900435,10
1900435,2
1900435,9
1899179,1
1899190,2
1899246,2
1899276,1
1899255,2
1899269,2
1899303,2
1899303,18
1899303,1
1899022,12
1899022,12
1899216,2
1899232,2
1889371,2
1889371,1
1889379,2
1889379,1
1900520,1
1900520,1
1903806,10
1889384,2
1889384,1
1892864,6
1898963,2
1898963,1
1898966,1
1899058,2
1899044,1
1902443,2
1902443,8
1902443,1
1902447,1
1902459,1
1903252,1
1896183,2
1904224,1
1904224,2
1904264,1
1904331,1
1904286,2
1904089,2
1904334,1
1904284,1
1904226,7
1904226,2
1891339,1
1904245,2
1904225,1
1904292,1
1904309,18
1904254,11
1904254,12
1904254,2
1886956,18
1904267,11
1904218,2
1879869,1
1893239,1
1895876,2
1895727,11
1879931,7
1895705,2
1895805,10
1895713,1
1885382,1
1878452,2
1885066,1
1900367,6
1899138,1
1899153,2
1899146,2
1899146,1
1899151,2
1899152,2
1900247,1
1900247,2
1900343,1
1900343,2
1902319,1
1902383,2
1902399,1
1902399,6
1902399,10
1903769,1
1903769,20
1885225,1
1889201,1
1899100,6
1899104,2
1897823,12
1897823,2
1897823,11
1897763,1
1902367,1
1902367,8
1902375,26
1902373,2
1902405,1
1889274,2
1903174,1
1903113,1
1903113,2
1902877,7
1902384,1
1902356,10
1902417,2
1904214,29
1904231,1
1904238,6
1904229,6
1889924,8
1904188,2
1904239,1
1904219,1
1904276,18
1889840,10
1889840,2
1904189,1
1903175,12
1904262,2
1904129,2
1904190,2
1734980,12
1734980,2
1734980,11
1904208,1
1904252,18
1904126,2
1904183,1
1904178,1
1904169,1
1904167,1
